,닉네임,태그,별점,작성일,발색력,지속력,수분감,피부타입,리뷰
159,봉치테라피,"복합성
쿨톤
다크서클
주름",5,2021.12.18,보통이에요,보통이에요,보통이에요,복합성에 좋아요,가격이 조금 사악하긴 하지만 순하고 겨울에 쓰기 좋아요 선크림 기능으로 가볍게 바르고 있어요
160,bjl****,,5,2021.12.14,보통이에요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,촉촉한 질감의 쿠션으로 겨울철에 쓰기 좋아요~ 촉촉한 수분감이 있다보니 커버력은 만족스럽지 않지만 베이스로 피부표현하고 컨실러로 잡티 등을 커버해주면 좋네요~ 퍼프에 뭍힌 후 피부에 바르면 쿨링감이 있는데 피부가 쫀쫀해지는 느낌이에요~ 색상은 핑크베이스의 순수로 화사해지는 느낌이 있어요~
161,frozenfi****,,5,2021.12.10,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,진짜 만족하면서 쓰고 있는데... 아니 왜 리필을 안만드는거죠? 이해가.... 계속 본품을 구매해야 하는게 좀 그렇네요. 하지만 22호 정도에게 무난하게 잘 맞는 색상이어서 잘 쓰고는 있어요. 매쉬망이어서 그런진 모르겠는데 먼지가 잘 들어가는 것 같아요. 촉촉하다고 하는 쿠션 엥간히 다 써봤는데 나에겐 별로 촉촉함을 느끼지 못했다 하시는 분들은 이거 추천합니다.
162,봉치테라피,"복합성
쿨톤
다크서클
주름",5,2021.12.07,아주 만족해요,보통이에요,보통이에요,복합성에 좋아요,가볍게 사용하기 좋아요 근래에 써본 것 중 제일 맘에 들어서 재구매했어요
163,zz****,,5,2021.12.06,보통이에요,보통이에요,아주 촉촉해요,복합성에 좋아요,바르자마자 쿨링감이 느껴져서 아주 좋았어요 c사의 레베* 쿠션을 자주 사용하는 편인데 그 제품과 비슷한 제형과 비슷한 쿨링감입니다 색상도 비슷한 것 같다고 느꼈습니다 정말 아주아주 가볍게 발립니다 그만큼 커버력은 전혀 전혀 없습니다 아예 없다고 봐도 무관할 것 같아요 피부 잡티가 없으시거나 커버력을 상관하지 않으시는 분이 사용하시면 가볍고 촉촉하기때문에 만족하실 것 같아요 저는 컨실러와 함께 사용하고 있어요  색상은 아주 밝거나 하진 않아서 엄청나게 하야신 분은 조금 어두울 수도 있을 것 같으나 커버력이 없고 자연스럽게 발리기때문에 내 피부와 잘 어울려질 것 같기도 해요 향기도 괜찮은 것 같고요 쿠션의 크기는 일반적인 쿠션보다는 약간 큰데 용량은 더 크거나 하진 않더라고요 리필이 들어있지 않아서 가격이 약간 비싼거 같긴해요
164,comee****,,5,2021.11.28,아주 만족해요,보통이에요,아주 촉촉해요,건성에 좋아요,촉촉하고 좋아요. 완전 건성인데 역시 쿠션 촉촉한 거 아님 다 막 넘 건조해서 촉촉한 쿠션만 찾아서 쓰는데 이건 촉촉해요~ 촉촉 쿠션들은 촉촉한 대신 커버력이 쎄지는 않아요. 그래도 피부가 화사하게 잘 표현됩니다. 밀리는 느낌도 별로 없었어요. 지속력은 보통인 것 같습니다. 케이스가 이쁜 것두 맘에 드네요 ㅎ 갖구다니기 간편하고 데일리로 잘 쓰고 있습니다ㅎ
165,wnwn****,,2,2021.11.27,보통이에요,보통이에요,아주 촉촉해요,건성에 좋아요,"피부가 좋은 건성분들에게 추천하는 제품

_7시간 동안 외출한 날 마스크인데 묻어남이 거의
없어서 놀랐어요 (쿠션 전후로 픽서 뿌려주고 파우더처리는 안 했음)

_바르고 몇 시간이 지나고 나서도 물광이나 앰플광이 아닌 아주 고운 하이라이트광이 찍혀 나와서 신기했어요

!!! 4일 정도 사용했는데 오돌토돌한 좁쌀...? 같은 게 갑자기 생겼어요... 바뀐 건 쿠션밖에 없어서 별점5에서 2로 변경합니다!!!"
166,봉치테라피,"복합성
쿨톤
다크서클
주름",5,2021.11.25,아주 만족해요,보통이에요,보통이에요,복합성에 좋아요,촉촉한 쿠션 찾다가 새로 나왔길래 샀는데 괜찮네요 완전 촉촉은 아니지만 써본 것 중에서는 제일 나아요 피부결 정리해주는 용도의 쿠션이라 커버력은 없다고 보면 될 것 같아요 가벼워서 좋아요
167,vital****,,5,2021.11.23,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"젤리쿠션답게 되게 촉촉한데 지속력도 오래가는 편입니다
겨울에 사용하기에도 좋아요
쿠션케이스가 예뻐서 보면 기부니 좋아집니다ㅎㅎㅎ
비건인증 받은 제품이라 좋구요
기초제품에 비해 쿠션 비비등은 커버력 지속력 때문인지 성분이 하나라도 안좋은게 든 제품이 대부분인데,
이건 전성분이 ewg 그린등급이라 안심하고 매일 사용하고 있습니다~ 만족해요."
168,daehw****,,5,2021.11.22,아주 만족해요,지속이 오래돼요,보통이에요,복합성에 좋아요,"가볍게 커버하고 다니기 넘  좋아요
마스크에도 안 묻어 나오니까 신세계가 따로 없네요 ㅋㅋㅋ 앞으로 요것만 정착해서 쓰려구 해용>_<
커버용도 구매해보려고 해요
초민감성 예민 피부에도 찰떡으로 잘 맞아서 넘 좋아요❤️ 앞으로 이것만 정착해서 쓰려구 해요
화해어플 통해서 확인하니까 성분도 좋아서
안심입니다 ㅋㅋ 트러블 1도 안나서 자꾸 손이 가는건
안 비밀!!!"
169,rkawk****,,5,2021.11.20,아주 만족해요,보통이에요,아주 촉촉해요,건성에 좋아요,"저는 쿨뮤트톤으로 에스ㅃㅇ는 바닐라컬러 조가네 파운데이션은 가장 밝은 색상을 사용해용! 계속 조가네 파운데이션만 사용하다가 아르바이트갈때 조가네쓰는거는 진짜 사치다 싶어서 막바를수있는 쿠션을 이리저리 찾아보는중에 이 쿠션을 발견했습니당! 저는 잡티가 그렇게 많지않아서 커버력보다 좌르르르한 윤광, 고급진 피부 표현을 좋아하는데요 진짜 찰떡입니다! 일단 바르자마자 시-원해요 쿨링감이 장난이 아니고 촉촉합니다 그래서 윤광이 더 촤르르돌아요 고급진 피부표현 가능합니다! 지속력은 괜찮은것같아요! 저는 예전에 클ㄹㅇ쿠션이랑 파데가  많이 뜨고 안예쁘게 무너져서 잘 손이 안 갔는데 어뮤즈는 괜찮더라고요! 촉촉하니 진짜 괜찮아요! 내가 건성에 잡티없는피부에 촉촉맑음, 윤광, 얇은피부표현 챙기고싶다 하면 이거 각입니다! 한가지 아쉬운점은 21호뿐만아니라 한단계 더 밝은컬러가 있었으면 합니당"
170,wlg****,,5,2021.11.17,아주 만족해요,예상보다 짧아요,아주 촉촉해요,건성에 좋아요,제가 완전 촉촉은 안 좋아하는데 이거는 좀 피부가 편한 것 같아서 만족 스러웠어요. 너무 윤광 윤광해서 기름기 좔좔 느낌이 아니라 수분 로션 바른 듯이 촉촉했어요. 근데 진짜 커버 중요시 여긴다면 사용하면 안될 것 같구요. 커버보다는 약간의 톤업 피부 편안함.. 건성인 분들한테 좋을 것 같아요. 얼굴 바르고 사진 찍어 봤는데 사진으로는 진짜 그냥 쌩얼 같았어요 ㅋㅋㅋ 지금 점점 추워지면서 너무 매트한 쿠션에서 점점 촉촉한 쿠션으로 바꾸면서 바르고 있는데 더 건조해지면 잘 사용할 것 같아요. 케이스가 크고 예뻐요. 사진만 보고 작을 줄 알았는데 일반 케이스들 보다 큰편이예요. 그래서 좋은점은 큰 만큼 양도 많더라구요. 글고 저는 쿠션보다는 매쉬망이 뭔가 더 용량도 많게 느껴지고 기초 크림을 바르는 듯한 느낌이라 촉촉한 것 같아 선호하는 편인데 이게 매쉬로 되어 있어서 좋았어요.
171,pitsel****,,5,2021.11.11,아주 만족해요,지속이 오래돼요,아주 촉촉해요,복합성에 좋아요,설명에서 나온 그대로 촉촉하고 탄탄해 보이는 피부결 연출이 돼요 여드름 자국이랑 잡티가 많은 피부에 어중간한 광 연출은 뭐랄까 그냥 개기름? 느낌인데 얘는 피부가 좋아보이게 연출돼서 만족해요!! 커버력이 높진 않은데 그래서 자연스럽고 예쁜 피부로 보이게 하는 것 같구요 갑자기 추워졌는데 촉촉해서 요새 날씨에 더 딱이네용~ 동물 실험하는 회사 싫은데 비건 제품이라 하니 더 좋아요!
172,mymazing****,,5,2021.11.10,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,쿠션이 조금 도톰하고 큰느낌이 있지만 깔끔하고 투명해서 실제로 부담스럽지는 않았어요. 어뮤즈 듀 시리즈자체가 엄청난 발색을 자랑하기 보다는 촉촉하고 투명한 시리즈같아서 (듀틴트도 촉촉하고 은은한 투명발색이라) 기대했는데 실제로도 그랬어요. 저는 커버력이 강한것보다는 은은하게 커버되고 피부 좋아보이는게 좋거든요. 이거 한 날에 피부좋다는 말을 많이 들었습니다^^ 보시다시피 진한 색소침착이 한번에 다 가려질 정도는 아니지만 광이나고 맑아보이게 해줘요
173,lgh88012****,,5,2021.11.09,아주 만족해요,보통이에요,아주 촉촉해요,복합성에 좋아요,"요새 얼굴이 건조하고 제얼굴 특성상 모공이 많은데
아무거나 못쓰고 모공도 커버되는제품 위주로 쓰고있어요 비건화장품은 처음써보는건대 되게 순하고
피부에 잘먹어서 정말 깨끗하게 발리는거같아서 
대만족입니다 정말순하다는 느낌을 받아요 피부가 건조하신분들에게도 괸찮은것같다는 생각이듭니다
피부가 저처럼 예민하신분들이시면 꼭 사용해보세요  커버력도 좋아요"
174,ddz****,,5,2021.11.09,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"촉촉 그자체ㅋㅋ
물광 최고에요! 지금계절엔 매트한 쿠션 못쓰잖아요~~
촉촉한데 마스크에도 묻어남 별로 없고 좋네용
다만 커버력은 좀 아쉬워요
손등에 점이 있어서 이걸로 보여드리자면 확실히 커버력은 좀 떨어지긴한데 촉촉한데 커버력까지 좋은 쿠션은 없다고생각해요^^,, 꼭 가려야하는게 있다면 컨실러쓰면되니까요~~~
점을 포함한 오른쪽은 쿠션바른거, 왼쪽은 안바른건데 광은 확실히 최고에요!  올 겨울 이 쿠션으로 촉촉하게 지낼게요 감사합니다!"
175,shdbsk****,,5,2021.11.09,아주 만족해요,지속이 오래돼요,아주 촉촉해요,복합성에 좋아요,"올리브영1등 쿠션답게 커버력 밀착력 촉촉함까지
정말대만족스러워요!!!!
아침에한번 쿠션하고나면
저녁까지수정화장안해도될것같네요
후기가좋은상품은..역시다릅니다
배송도빨리도착했구요
사은품도잘받았습니다
이거다쓰면다른호로 재구입할예정입니다
01순수 맑고하얗게표현됩니다
커버력이좋아서 커버력좋은쿠션 알아보시면
어뮤즈 쿠션 추천드려요"
176,rani****,,5,2021.11.08,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,피부에 광이나기 시작했어요! 피부가 요며칠 트러블로 뒤집어져서 화장을 못하다가 괜찮아지면서 요 제품 사용했는데 주변에서 피부 너무 좋다는 말 들었어요!! 제 피부가 뉴트롤톤인데 순수가 살짝 핑크톤이라서 눈밑 다크 잡아주고 생기있어보이게 만들어 주네요~! 쿠션에 조금씩 묻어나오고 투명한 발림이라 커버용은 아니고 수정용이나 투명하게 사용할때 사용하기 좋을것같아요! 바를때도 수분감때메 시원하고 촉촉한 느낌이 확 들어요!건성인 저에겐 너무 좋습니다!!
177,drr****,,5,2021.11.08,보통이에요,보통이에요,아주 촉촉해요,건성에 좋아요,"역시 비건제품이라 그런지 더욱더 믿고 쓰는것같아요!
사실 여기 틴트를 먼저 써보고 너무 좋아서 쿠션까지 사버렸네요!
커버력이 완벽하진않지만 원래 답답한 화장을 싫어하는 저에겐 완전 부드럽고 좋은 제품인것같아요!
가볍게 발리고 약간 네추럴하게 생얼인듯 아닌듯 표현할수있다는게 너무 좋은것같아요!
지금 조명이 너무 밝아서 발색이 표현이 잘안됬지만 너무 좋습니다!
저는 1호 순수쓰는중예요"
178,kimkimye****,,5,2021.11.06,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"엄청 건조한 피부여서 일반 쿠션이나 파데는 죄다 떠서 쓰지도 못하고 돈낭비였는데 이거는 저처럼 극건성 분들도 뜨지 않고 잘 발려요. 바를때는 시원 촉촉하게 올라가는데 빠르게 말라서 보송보송 해져요. 그게 약간 건조한 느낌이 드는데 기초만 탄탄히 해주면 괜찮구 뜰까봐 걱정은 안하셔도 돼요. 지속력 정말 좋고 마스크에 묻어남도 별로 없고 무너짐도 없는 것 같아요. 모공, 주름 끼임 없음!! 또 엄청 민감한 피부여서 쿠션 한번 잘못 발랐다가 피부 뒤집어져서 한달넘게 고생하고 지금 좀 괜찮아졌다는... ㅎㅎㅎ 근데 이건 써보니까 자극도 없고 순한 느낌이고 피부 뒤집어지지도 않았어요. 저는 여름에도 이 제품 쓸듯ㅋㅋㅋㅋ 픽싱되면서 수분이 날아가기 때문에 겨울엔 살짝 건조하지만 기초탄탄하게 발라주며 잘 쓸거같아요. 진짜 인생쿠션ㅜㅜㅠ 극건성들 여기로 모이세요. 아 그리구 광이 부담스럽게 번쩍일까봐 걱정했는데 그렇지도 않아서 더 만족!"
179,sujining****,,4,2021.11.05,보통이에요,보통이에요,보통이에요,복합성에 좋아요,"커버력은 생각보다 크지 않고 색상은 일반적인 좀 밝은 톤에 동양인 피부에게 딱 맞는 색상이었습니다. 저는 보통 21 호를 쓰는데 제 피부 보다 밝은 느낌은 아니었습니다.
패키지 디자인 자체는 깔끔하게 잘 나온 것 같아요!
촉촉한 정도는 가을 겨울철 가을 겨울철 환절기에 유용하게 쓸 수 있을 정도로 수분감 있게 발려집니다.
전체적으로 무난하게 쓰일 제품입니다🙂"
180,natru****,,4,2021.11.05,아주 만족해요,예상보다 짧아요,보통이에요,복합성에 좋아요,"베이스 유목민이에용..  코로나 이전엔 더블웨어 썼는데, 마스크에 너무 많이묻고 또 밥먹을때 빼고는 계속 마스크쓰니까 화장의 필요성이 줄어들면서 톤업선크림 이것저것 써보면서 방황하고 있어요.
피부가 까무잡잡한편에 피부톤이 고르지못해서 일반선크림은 좀 민망하더라고요. 쌍빠 톤업썬쿠션이 제일 유지도 오래되고 적당히 톤업되서 너므너무 좋았는데 쿠션형태라 그런지 엄청 금방금방써서.. 리필을 5개를 쟁였는데 몇달 되지도않아 다써서 회의감을 느끼던중 발견했습니다.
뭔 젤리같은? 망으로 된 형태라길래 여기에 일단 너무 혹했고용. 비싸지만 이상하게 끌려서 사봤습니다.
상상했던거보다 쓰는 느낌이 너무 좋아요. 망 안에 들은게 되게 묽어서 조금만 찍어도 잘 묻어나서 좋았어요.
그리고**생각보다 정말정말 얇게 잘발립니다** 틴트?같이 엄청 얇게 맑게? 스며들듯이 발리는데 넘 좋았어요. 바르는데 촉촉시원하기도 하고요. 색상도 너무 부담스럽게 안하얘지고 적당히 톤업되서 좋았습니다. 너무너무 만족스러웠어요.
마스크에는 묻어나긴 합니당. 얇게 발려서 그런가 얇게 묻어나오긴하는데 6시까지 근무하고나면 볼쪽은 쬠 지워지고 노랗게 묻어나있어요. 그래도 다른거에 비하면 적게 묻어나고 지워진 티도 많이는 안나서 현재로선 1순위입니당. ㅎㅎ 보통 마스크에 묻어나고 나면 약간 끈끈한데 이건 계속 보송한 느낌이라 더 좋아요.
그리고 처음엔 속촉겉보송인데 오후되면 역시 저의 엄청난 기름들이 뿜뿜해서 얼굴이 쬠 번들번들해지긴 합니다. 그래도 원래는 더 뿜뿜할 기름을 조금 막아주는거같기도 해요. 아무튼 만족스러워요.
마스크 안쓰게 되는 날이 와도 더블웨어 말고 얘 쓸거같아요."
181,sangmi****,,5,2021.11.03,아주 만족해요,지속이 오래돼요,아주 촉촉해요,복합성에 좋아요,"개인적으로 어뮤즈 브랜드를 엄청 좋아해요
완전 취저에요 컨셉부터 디자인도 완전
마음에 들어요 립틴트 발라보고 마음에 들어서
쿠션제품도 선택한건데 발림성 커버력 촉촉함
지속력 모두 마음에 들어요 친구들도 한번씩 빌려서
발라보고 맘에 든다고 다들 하나씩 산다고하더라구요 
ㅋㅋㅋ무엇보다 고급진 디자인도 좋아서
가방에 넣어두지않고 가끔 거울보는 용도로
꺼내봐도 너무 좋아요 굳!!"
182,tank****,,5,2021.10.31,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"마스크를 쓰고 다니다 보면 화장이 자주 무너져 수정화장용으로 팩트를 구매하게 되었어요. 촉촉한 발림성에 잡티커버정도는 가능하기에 요즘은 그냥 베이스로 바르고 다닌답니다!! 얇게 여러번 바르면 무너짐도 덜하고 파운데이션에 비해 답답함도 없어 이걸로 화장하기에 손색 없어요!! 건성이라 촉촉함을 우선시 하되, 커버력도 놓칠수 없기에 제품 선택에 신중한편인데 비건 팩트라해서 구매했는데 너무 만족스럽습니다! 다른 쿠션 팩트에 비해 마스크 묻어남도 덜하고 답답하지 않아 마스크 벗기 전까진 계속 사용하려 합니다ㅎㅎ 지속력도 나쁘지 않아 따로 파우더 처리
하지 않아도 될 정도에요! 색상은 평소 21호와 23호를
섞어쓰는  웜톤이라 핑크베이스 피해 선택했는데 아주 만족합니다ㅎㅎ 커버용으로 사서 한톤 밝았음 좋겠다 싶었는데 딱 그런 색이었고 베이스용으로 쓰기에도 너무 밝진
않아 좋습니당"
183,katy****,,5,2021.10.31,아주 만족해요,보통이에요,아주 촉촉해요,건성에 좋아요,"우선 저는 17호 쿨톤이고 1호순수컬러는 핑크 베이스여서 17호~밝은21호 분들 까지 사용하셔도될거같아요! 
저는 워낙 어뮤즈 제품을 좋아해서 디자인보고 예뻐서 바로 구매를 했고, 리필이없는거랑 두께가 좀 있는게 아쉽지만 🥲 매트망으로되어있는 쿠션이라 양도 많아서 좋은거같아요!
우선 제형은 굉장히 촉촉하고 푸딩같아요! 피부에 올렸을때 커버도 쌓이는 편이고 촉촉하고 광이 잘 보이는 반면에 끈적임은 적은편이에요! 5~6시간정도 마스크를 끼고 생활했을때 무너짐과 다크닝이없고 지워지듯? 유지되어서 수정하기고 편리하고 피부가 더러워 보이지않아요!
촉촉한 파데,특히 쿠션제품은 마스크 시국에 쓰기 불안한 감이있는데 왜 어뮤즈가 이런제형으로 낸지알겠네요!! 리필만 출시해주신다면 계속 쓸 의향이있습니다 ☺️"
184,yoomin****,,5,2021.10.30,아주 만족해요,지속이 오래돼요,아주 촉촉해요,복합성에 좋아요,새로나온 비건 쿠션이라 엄청 기대하고 있었는데 역시 어뮤즈 쿠션 넘 좋네요!! 일단 케이스부터 완전 취저 ㅜㅜ 정말 깔끔하고 투명한 느낌이라 볼때마다 기분이 좋아지는 것 같아요:) 그리구 젤리쿠션인 만큼 정말 촉촉하고 처음에 딱 피부에 닿았을 때 시원한 느낌이 들어서 히터때문에 올라간 피부온도도 내려주는 것 같아요! 지금 같이 건조한 환절기에 사용하기 딱이에요~ 에센스가 70%나 들어있어서 그런지 정말 촉촉하고 바르고 나면 예쁜 광이 돌아서 피부표현도 예쁘게 돼요~ 퍼프도 얇고 밀착되게 잘 발려서 궁합이 좋은 것 같네요! 저는 밝은 21호 피부에 핑크베이스를 선호해서 순수 컬러로 골랐는데 색상도 딱 마음에 들어요! 올겨울 쿠션은 이걸로 쓰려구용 ㅎㅎㅎ
185,dbtjsgh****,,5,2021.10.30,보통이에요,보통이에요,보통이에요,복합성에 좋아요,어머니가 출근할때 쓰시라고 구매했어요. 온라인으로 구매하면 쿠폰도 줘서 좋더라구요. 배송도 하루걸려 왔어요. 썬쿠션도 쓰셔서 쿠션이 편하셔서 사용하시는데 커버력도 괜찮고  피부가 막힌 느낌이 안들어서 좋다고 하시네요. 같이온 틴트도 색감이 괜찮아서 나이가 있으신분들도 충분히 부담없이 사용할숭있네요. 같이 온 슬기님 싸인 되어있는 사진은 거울에 뒀습니다 ㅎㅎ
186,pwbys****,,5,2021.10.29,아주 만족해요,지속이 오래돼요,아주 촉촉해요,복합성에 좋아요,"찬바람이 불어오기 시작하여 촉촉한 쿠션을 찾던 중 저자극 쿠션이면서 촉촉한 제품이라는 것이 눈에 띄어 구매했습니다. 배송도 너무 빨랐고, 포장도 잘 되어 와서 마음에 들었습니다. 
두꺼운 화장을 별로 선호하지 않아서 떨리는 마음으로 구매했는데 완전 가볍고 얇게 발라져서 너무 좋았습니다. 두껍고 무거운 화장을 싫어하시는 분이라면 완전 추천합니다.
촉촉함이 오래가서 건조한 피부나 복합성이 분들이라면 좋을 것 같습니다.
요즘같이 추운 계절에 딱 어울리는 것 같습니다.
케이스도 너무 깔끔하고, 프랑스 EVE 비건 인증을 획득했다고 하니 완전 믿고 쓸 수 있는 제품 같습니다. 
70% 젤리 에센스가 함유되어서 피부 속까지 촉촉함을 경험할 수 있는 것 같습니다.
마스크 속에서 살아가야 하는 피부에 영양 듬뿍 주는 것 같아 완전 만족합니다."
187,cja****,,5,2021.10.29,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"02 누드를 구입했구요. 핑크톤이라는 말처럼 핑크톤이라는 것이 잘 드러나서 예뻐요. 맑게 발려서 처음에는 많이 티가 나지 않으면서도 자연스럽게 마무리되어서 좋더라구요.
쿠션의 내용물은 액체처럼 묽은 편 같은데 쫀득한 퍼프로 바르니 더 좋은 것 같아요.
상당히 촉촉한 편이어서 벨벳 느낌이면서도 부드럽게 마무리되고 건조한 계절에도 사용하기에 좋은 것 같아요. 
웜톤이지만 핑크 계열 괜찮을까 고민했는데 워낙 자연스럽게 나온 제품이다보니까 잘 어울려서 다행이에요.
새로 나온 제품이라 아직 후기도 별로 없었는데 생각보다도 훨씬 마음에 들었고 제품의 패키징도 깔끔하게 예쁘네요.
자외선 차단뿐 아니라 미백과 주름개선 성분들도 들어있어 성분도 신경써서 만든 제품인 것 같아요. 나이아신아마이드, 아데노신 등이 들어있어요."
188,leekel****,,5,2021.10.29,보통이에요,보통이에요,아주 촉촉해요,복합성에 좋아요,"퍼스널컬러 측정을 해보지 않아서 웜톤인지 쿨톤인지 아무도 모르는데 연분홍과 파란색이 잘서울리고 혈관색이 파랗게보이는지라 쿨톤이라 짐작하고 핑크베이스인 순수를 구매했습니다!! (아닐수도.. 근데 저랑 맞는거 같아요)

손등에 써보니 앏게 발리는데다가 매마른 느낌이 아니라 건성인분들한테도 좋을것 같아요!
좀 하얗긴 한데 제 피부톤이랑 어울려서 좋은것 같아요!!

색도 자연스럽게 예쁘고 케이스가! 특히 너무 예뻐요 ㅎㅎㅎㅎ 어머니가 옆에서 보시고 케이스 예쁘다고 막 얘기하시더라구요! 이거 다 쓰고 더 좋은제품 못찾으면 쭉 이거 쓸거같은 느낌. 좋아요!! 😃 비건인증이라 신뢰도 가고.. 증정품으로 온 복숭아틴트도 잘 쓸게요~!!"
189,pu****,,5,2021.10.29,보통이에요,지속이 오래돼요,아주 촉촉해요,복합성에 좋아요,"배송 정말빨리와서 바로테스트 해봤습니다.
건조한 계절은 촉촉 물광주지않으면 아파보이더라구요.
.
제원래 호수는 23호인데 뉴트럴베이스는 21호 맑음 뿐이라 조금 아쉽지만 맑음으로 구매했어요.
실제사용해보니 제 피부톤보단 밝지만 얇게펴발라주니 기분좋은 톤업정도로 느껴질정도였습니다. 생각보다 쫀쫀한 제형임에도 얇게 잘도포되고 바른후 티슈테스트를해보니 묻어남이 없네요. 제품설명에도 나와있듯 커버력이 엄청뛰어난 제품은아니지만 은은한 광택과 묻어남없는 깔끔함, 속건조없는 촉촉함이 매리트있네요. 이번 가을겨울 잘바를것같습니다.
.
케이스가 심플하니 이쁘고 같이 보내주신 듀틴트 복숭아 발라보니 색감 대박이네요 ㅎㅎ 주문하러가야겠어요."
190,ange****,,5,2022.01.04,아주 만족해요,예상보다 짧아요,아주 촉촉해요,건성에 좋아요,겨울에 사용하기 조아요 아주 촉촉해여 다만 마스크에 생각보다 묻어나오고 무너짐은 예쁜데 얇고 가벼운 만큼 지속력이 좀 아쉽네요 피부가 깨끗한 분에게는 아주 좋을거 같아요
191,a632****,,4,2022.01.04,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,처음 발랐을때 느낌은 발라진건가?  하는 느낌 이였는데 바르고 시간이 조금 지나니 화사해졌어요 붉은기 올라왔을때 발랐는데 커버는 안돼요 다크닝 없었고 퍼프에 고르게 찍혀서 양조절 하기에도 좋은거 같아요 쿠션 유목민인데 맘에 드는 쿠션 찾았네요 커버력이 약해서 별 하나 뺐아여
192,cac****,,5,2022.01.03,보통이에요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"아무래도 촉촉쿠션이라 커버력은 조금 아쉽지만 제 인생에서 각질부각 없는 쿠션은 처음이었어요! 건성인데다 겨울이라 에스쁘아 비글로우 포함 어떤 쿠션을 써도 뜨고 건조하다는 느낌을 받았는데, 이건 엄청 얇게 발리고 촉촉해서 베이스 안 한 듯한 느낌이에요. 건성이라면 꼭 사야합니다😭 개인차는 있겠지만 저는 여름에도 얼굴이 건조해서 베이스는 거의 생략하는 편인데 어뮤즈 쿠션은 사용할 수 있을 것 같네용! 무너짐도 예쁘고 클렌징도 잘 돼서 좋은데 조금 주의하셔야 될 건 퍼프로 찍을 때 양조절을 신경써서 해야될 것 같아용. 그거 말곤 전 다 만족입니다😻"
193,wjsgywl****,,4,2021.12.30,보통이에요,보통이에요,아주 촉촉해요,복합성에 좋아요,"처음 사용하는데 이 제품  정어어어말~~~~ 촉촉해요
커버력은 살짝 부족? 잡티랑 작은 모공까지는 커버가 가능한데 여드름 흔적? 흉터? 는 커버가 부족해요!

가볍게 사용하고 싶다, 커버는 컨실로로 충분하다,
촉촉했으면 한다 이런 분들이 사용하기에 최적합입니다!!!!!

무너짐도 이쁘게 무너지고 , 살짝 지워지는 정도이지 막 티--나게 무너짐이 아니여서 좋아요!"
194,seohabin****,,3,2021.12.24,아주 만족해요,보통이에요,보통이에요,복합성에 좋아요,이거 요즘 엄청 핫하잖아요? 근데 다들 좋다 좋다 하는 거에 비해선 저는 이게 왜 좋지…? 싶더라고요ㅠㅠ 무지무지 촉촉한 쿠션인 줄 알고 기초 대충 하고 발랐더니 뜨고… 크림 잘못 바르면 밀려요! 이런 쿠션은 또 오랜만에 봐서 당황스러워요ㅠㅠ 너무 얇아서 기초 쌓은 걸 잘 묶어주질 못하고 그 위에 둥둥 떠다니는 제형 같아요. 21호인데 1호 사용했을 때 색상이 원래 제 피부색이랑 똑같았고요! 되게 자연스러우니까 색상 고르실 때 참고하심 좋을 것 같아요. 1호는 핑크베이스 느낌이 강해요. 근데 별로 안 밝아요. 마스크 묻어남이 되게 적다고 해서 저도 기대를 많이 했는데 전혀 그렇지 않은데요?… 양조절 잘 해서 발랐는데 제가 원래 잘 쓰던 네이밍보다 더 묻어나는 것 같네요ㅠㅠ 왜지.. 수분감은 좋은데 생각보다 건조하기까지 해요ㅠㅠ 아쉽습니다
195,cactu****,,4,2021.12.23,보통이에요,보통이에요,아주 촉촉해요,건성에 좋아요,평을 자세히 보고 산 제품이라 짐작은 했어요. 피부잡티가 가려지거나 커버가 잘 되는 제품이 아니라는걸 알고 오히려 그부분이 맘에 들어서 산 제품이라 일단 전 만족합니다. 발랐을때 확실히 커버기능은 엄청 떨어져요. 그런데 그냥 내 피부에서 촉촉한 느낌을 오래 주기 때문에 건조함이 적어서 좋아요. 보통 팩트들은 바르고 몇시간 지남 쩍쩍 갈라지는 느낌도 나고 무척 푸석해보이는데 이제품의 최대 장점은 계속 촉촉해보인다는 겁니다. 그래서 올만에 보는 사람들이 피부 좋아졌다고 어떻게 그렇게 피부에서 광이 나냐고 묻기도 하는데 그 점이 좋은 제품이라 엄마에게도 하나 사드리고 싶은 마음이 있어요. 저는 만족해서 앞으로 종종 사서 쓸거 같아요. 잠시 품절이 되서 아쉬웠는데 바로 입고 되서 주문할수 있어서 좋았어요. 커버력보다 촉촉함을 원하시는분께 강추입니다.
